pair,date,open,high,low,close,volume,close_time,quote_volume,trades
FXS/USDC,2025-03-09,1.777,1.777,1.777,1.777,0.0,2025-03-09 23:59:59.999,0.0,0
FXS/USDC,2025-03-10,1.777,1.777,1.777,1.777,0.0,2025-03-10 23:59:59.999,0.0,0
SAND/USDC,2025-03-09,0.2899,0.2899,0.2703,0.2703,29551.66855,2025-03-09 23:59:59.999,102315.98,28
SAND/USDC,2025-03-10,0.2703,0.2703,0.2703,0.2703,0.0,2025-03-10 23:59:59.999,0.0,0
W/USDC,2025-03-09,0.1651,0.1651,0.1651,0.1651,0.0,2025-03-09 23:59:59.999,0.0,0
W/USDC,2025-03-10,0.1651,0.1651,0.1651,0.1651,0.0,2025-03-10 23:59:59.999,0.0,0
AGIX/USDC,2025-03-09,0.9077,0.9077,0.9077,0.9077,0.0,2025-03-09 23:59:59.999,0.0,0
AGIX/USDC,2025-03-10,0.9077,0.9077,0.9077,0.9077,0.0,2025-03-10 23:59:59.999,0.0,0
STORJ/USDC,2025-03-09,0.38,0.38,0.38,0.38,0.0,2025-03-09 23:59:59.999,0.0,0
STORJ/USDC,2025-03-10,0.38,0.38,0.38,0.38,0.0,2025-03-10 23:59:59.999,0.0,0
ACH/USDC,2025-03-09,0.03432,0.03432,0.03432,0.03432,0.0,2025-03-09 23:59:59.999,0.0,0
ACH/USDC,2025-03-10,0.03432,0.03432,0.03432,0.03432,0.0,2025-03-10 23:59:59.999,0.0,0
DYDX/USDC,2025-03-09,0.6424,0.6458,0.5604,0.5722,253591.309139,2025-03-09 23:59:59.999,426010.695,56223
DYDX/USDC,2025-03-10,0.5722,0.6157,0.5639,0.6014,131193.904985,2025-03-10 23:59:59.999,222339.159,28922
OMNI/USDC,2025-03-09,5.14,5.14,5.14,5.14,0.0,2025-03-09 23:59:59.999,0.0,0
OMNI/USDC,2025-03-10,5.14,5.14,5.14,5.14,0.0,2025-03-10 23:59:59.999,0.0,0
AEVO/USDC,2025-03-09,0.1651,0.1651,0.1651,0.1651,0.0,2025-03-09 23:59:59.999,0.0,0
AEVO/USDC,2025-03-10,0.1651,0.1651,0.1651,0.1651,0.0,2025-03-10 23:59:59.999,0.0,0
LBS/USDT,2025-03-09,10000000.0,10000000.0,10000000.0,10000000.0,0.0,2025-03-09 23:59:59.999,0.0,0
LBS/USDT,2025-03-10,10000000.0,10000000.0,10000000.0,10000000.0,0.0,2025-03-10 23:59:59.999,0.0,0
WIF/USDC,2025-03-09,0.535,0.54,0.43,0.442,26002.3246,2025-03-09 23:59:59.999,55101.69,4981
WIF/USDC,2025-03-10,0.442,0.489,0.441,0.475,16157.79386,2025-03-10 23:59:59.999,34829.26,3095
CQT/USDC,2025-03-09,0.25,0.25,0.25,0.25,0.0,2025-03-09 23:59:59.999,0.0,0
CQT/USDC,2025-03-10,0.25,0.25,0.25,0.25,0.0,2025-03-10 23:59:59.999,0.0,0
STMX/USDC,2025-03-09,0.004283,0.004283,0.004283,0.004283,0.0,2025-03-09 23:59:59.999,0.0,0
STMX/USDC,2025-03-10,0.004283,0.004283,0.004283,0.004283,0.0,2025-03-10 23:59:59.999,0.0,0
